,peak_heights,prominences,left_bases,right_bases,widths,width_heights,left_ips,right_ips,peak_locations,index
1,105227.63136138655,98850.28384665994,884,1260,23.823890514426694,55802.48943805658,1032.3227822466247,1056.1466727610514,1044,7
2,117229.78056365748,110834.00380745422,1260,1755,23.73304305475631,61812.778659930365,1564.3697963978411,1588.1028394525974,1576,7
3,119712.77042944964,112749.46644384677,1260,2034,23.797503067879234,63338.03720752625,1884.6111179916606,1908.4086210595399,1896,7
4,100321.83552517023,91535.28421657851,2034,2159,23.118032802390644,54554.193416880975,2098.3440477521826,2121.4620805545733,2110,7
5,155918.57236912515,149334.8722001896,1260,2522,24.432166827267338,81251.13626903035,2204.1111017689423,2228.5432685962096,2216,7
6,106353.13034781956,96961.55501881342,2279,2522,23.23771371573048,57872.35283841285,2309.801098517546,2333.0388122332765,2321,7
7,81173.90351967643,74179.18633870075,2522,3004,21.951563620330944,44084.31035032606,2845.2872990796136,2867.2388626999445,2856,7
0,121483.81565375821,114365.97313326506,37,1264,22.02784791954994,64300.82908712568,181.2400136189246,203.26786153847453,192,8
1,113170.6827634255,106774.47331758183,882,1264,21.261641249146123,59783.44610463459,1033.5619172055674,1054.8235584547135,1044,8
2,125063.10569533051,118619.97615111327,1264,1745,21.101020021980503,65753.11761977387,1565.676388088776,1586.7774081107566,1576,8
3,128818.52448553176,121746.63843141549,1264,2026,21.30279358223015,67945.20526982401,1885.7148767508806,1907.0176703331108,1896,8
4,110123.1911340399,101056.78805601371,2026,2158,20.810821369744644,59594.79710603304,2099.4370181005606,2120.2478394703053,2110,8
5,168325.48975294037,161713.62792406575,1264,2533,21.56548574848466,87468.6757909075,2205.545986610886,2227.1114723593705,2216,8
6,114944.0061509708,105279.32207722453,2278,2533,20.764136058600343,62304.34511235854,2310.960085557634,2331.7242216162344,2321,8
7,88545.0296625375,81528.75583595033,2533,3007,19.9696840446627,47780.65174456234,2846.0599043247835,2866.029588369446,2856,8
0,126825.04267001587,119753.99466760608,35,1266,20.052664320626604,66948.04533621283,182.32809411231733,202.38075843294394,192,9
1,117904.21190784726,111512.10693407335,883,1266,19.612618764368335,62148.158440810585,1034.4140420784686,1054.026660842837,1044,9
2,130781.44812812685,124360.57840464765,1266,1751,19.575113495860023,68601.15892580303,1566.4424785126394,1586.0175920084994,1576,9
3,134838.33043953442,127716.15001100002,1266,2029,19.65139304497916,70980.2554340344,1886.472312204115,1906.1237052490942,1896,9
4,115183.73410997145,105960.45995829722,2029,2157,19.031180833464532,62203.50413082285,2100.248688796119,2119.2798696295836,2110,9
5,177558.55647069024,170991.68325479043,1266,2522,20.03354526576186,92062.71484329502,2206.217656294274,2226.251201560036,2216,9
